"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","central_fixation","clock_backend","color_backend","correct","correct_welcome","count_end_sketchpad","count_experiment","count_fix_sketchpad","count_fixation","count_fixation_inline_script","count_fixation_pygaze_log","count_fixation_script","count_fixation_sketchpad","count_getting_started","count_image_loop","count_image_stimulus","count_initial_fixation","count_new_1_inline_script","count_new_1_loop","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_inline_script","count_new_2_loop","count_new_2_pygaze_log","count_new_3_inline_script","count_new_3_loop","count_new_4_inline_script","count_new_4_loop","count_new_inline_script","count_new_logger","count_new_loop","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sequence","count_position_loop","count_shuffle_to_csv","count_welcome","d","datetime","description","disable_garbage_collection","experiment_file","experiment_path","file_path","filename","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","i","keyboard_backend","live_row","live_row_position_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","picture1","picture2","repeat_cycle","response","response_end_sketchpad","response_time","response_time_end_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","stimulus1","stimulus2","subject_nr","subject_parity","t0","time_end_sketchpad","time_experiment","time_fix_sketchpad","time_fixation","time_fixation_inline_script","time_fixation_pygaze_log","time_fixation_script","time_fixation_sketchpad","time_getting_started","time_image_loop","time_image_stimulus","time_initial_fixation","time_new_1_inline_script","time_new_1_loop","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_inline_script","time_new_2_loop","time_new_2_pygaze_log","time_new_3_inline_script","time_new_3_loop","time_new_4_inline_script","time_new_4_loop","time_new_inline_script","time_new_logger","time_new_loop","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sequence","time_position_loop","time_shuffle_to_csv","time_welcome","title","total_correct","total_response_time","total_responses","width","x1_cor","x2_cor","y1_cor","y2_cor"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","0","0","NA","0","0","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","24.084716431795453","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","0","0","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","000.png","011.png","8","even","377361.0","NA","262398","381001","377966","NA","377966","377361","NA","NA","NA","377981","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","381101","NA","270685","380982","376279","NA","377360","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","1","1","NA","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","0","1","0","0","1","0","0","0","55.53967218196363","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","1","1","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","003.png","010.png","8","even","381220.0","NA","262398","384402","381386","NA","381386","381220","NA","NA","NA","381395","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","384502","NA","270685","384395","376279","NA","381205","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","-277","277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","2","2","NA","2","2","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","0","2","0","0","2","0","0","0","29.933217019224667","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","2","2","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","001.png","003.png","8","even","384582.0","NA","262398","387829","384807","NA","384807","384582","NA","NA","NA","384821","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","387929","NA","270685","387821","376279","NA","384582","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","3","3","NA","3","3","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","0","3","0","0","3","0","0","0","22.794288073989044","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","3","3","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","002.png","002.png","8","even","388032.0","NA","262398","391394","388381","NA","388381","388032","NA","NA","NA","388387","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","391494","NA","270685","391387","376279","NA","388032","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","-320","320","0","0"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","4","4","NA","4","4","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","0","4","0","0","4","0","0","0","11.156710805609253","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","4","4","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","009.png","004.png","8","even","391569.0","NA","262398","394984","391960","NA","391960","391569","NA","NA","NA","391974","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","395084","NA","270685","394974","376279","NA","391568","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","5","5","NA","5","5","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","0","5","0","0","5","0","0","0","35.79153240642263","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","5","5","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","008.png","001.png","8","even","395164.0","NA","262398","398291","395275","NA","395275","395164","NA","NA","NA","395283","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","398391","NA","270685","398283","376279","NA","395163","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","-160","160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","6","6","NA","6","6","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","0","6","0","0","6","0","0","0","20.90220560610773","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","6","6","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","005.png","008.png","8","even","398482.0","NA","262398","401715","398694","NA","398694","398482","NA","NA","NA","398707","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","401815","NA","270685","401707","376279","NA","398481","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","7","7","NA","7","7","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","0","7","0","0","7","0","0","0","67.08295224630476","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","7","7","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","011.png","005.png","8","even","401905.0","NA","262398","405919","402904","NA","402904","401905","NA","NA","NA","402913","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","406019","NA","270685","405913","376279","NA","401904","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","0","0","320","-320"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","8","8","NA","8","8","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","0","8","0","0","8","0","0","0","36.625694744536865","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","8","8","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","010.png","006.png","8","even","406112.0","NA","262398","409476","406461","NA","406462","406112","NA","NA","NA","406470","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","409576","NA","270685","409470","376279","NA","406111","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","160","-160","-277","277"
"undefined","undefined","undefined","undefined","#3d3846","legacy","True","legacy","legacy","undefined","undefined","0","0","9","9","NA","9","9","NA","NA","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","NA","0","9","0","0","9","0","0","0","95.87495795253317","Fri Jun 21 13:19:40 2024","The main experiment item","False","03 Milestone_FullExperiment_V7.osexp","C:\Users\yarbus\Desktop\Team_Dog\Milestone4","C:\Users\yarbus\AppData\Local\Temp\tmpfbmk6t5t.opensesame_pool\stimuli.csv","stimuli.csv","False","mono","False","18","no","white","no","yes","1080","23","legacy","9","9","C:/Users/yarbus/Desktop/Team_Dog/Milestone4/jakob8.csv","legacy","Melodramatic Milgram","4.0.24","NA","NA","0","space","NA","8275.0","NA","8275","space","2","legacy","1024","2","48000","-16","experiment","NA","007.png","007.png","8","even","409672.0","NA","262398","412856","409840","NA","409840","409672","NA","NA","NA","409849","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","412956","NA","270685","412849","376279","NA","409671","377268","262401","262409","Left-Bias-Elimination","0","0","0","1920","277","-277","-160","160"
